[2025-12-29T12:26:14.134Z] [INFO]  Slot 9: teamId=69510181944ea694ffe1872b, teamName=TIME TO QUICK ESPORT, players=5
[2025-12-29T12:26:14.135Z] [INFO]  Slot 10: teamId=69510164944ea694ffe1871c, teamName=HYVE ES, players=10
[2025-12-29T12:26:14.135Z] [INFO]  Slot 11: teamId=6951014b944ea694ffe1870d, teamName=KILL ENEMY, players=5
[2025-12-29T12:26:14.135Z] [INFO]  Slot 12: teamId=69510137944ea694ffe18702, teamName=GUARDIANS OF ANGELS, players=5
[2025-12-29T12:26:14.135Z] [INFO]  Slot 13: teamId=69510121944ea694ffe186f7, teamName=FAKE ESPORTS, players=8
[2025-12-29T12:26:14.136Z] [INFO]  Slot 14: teamId=69510109944ea694ffe186ec, teamName=KMENG KHMER PUBG, players=7
[2025-12-29T12:26:14.136Z] [INFO]  Slot 15: teamId=695100f1944ea694ffe186dd, teamName=GOOD GAME ESPORT, players=8
[2025-12-29T12:26:14.136Z] [INFO]  Slot 16: teamId=695100dd944ea694ffe186d2, teamName= ANGELS OF DEATH, players=6
[2025-12-29T12:26:14.137Z] [INFO]  Slot 17: teamId=695100c4944ea694ffe186c7, teamName=I LIKE THE PUXXY, players=5
[2025-12-29T12:26:14.137Z] [INFO]  Slot 18: teamId=6951008f944ea694ffe186a5, teamName=NOT SO GOOD GAMEZ, players=6
[2025-12-29T12:26:14.157Z] [INFO] Using group for tournament 69499e9ba4ed5ec42955d7c8 (user 694425083b8530a13056ab4d):
[2025-12-29T12:26:14.158Z] [INFO] Group ID: 69499f4ba4ed5ec42955d895, Slots: 24
[2025-12-29T12:26:14.158Z] [INFO]  Slot 1: teamId=69498ccea4ed5ec4295599bb, teamName=AKATSUKI ESPORTS, players=12
[2025-12-29T12:26:14.158Z] [INFO]  Slot 2: teamId=69498d5aa4ed5ec4295599f6, teamName=BLACK TEAM, players=5
[2025-12-29T12:26:14.159Z] [INFO]  Slot 3: teamId=694430fbefa44f93da4414b9, teamName=GALACTIC 7 INFERNO , players=7
[2025-12-29T12:26:14.159Z] [INFO]  Slot 4: teamId=6949b2e35b0e8e59087af617, teamName=Arab-T esports, players=7
[2025-12-29T12:26:14.160Z] [INFO]  Slot 5: teamId=69498eb8a4ed5ec429559a98, teamName=TEAM CXLD, players=7
[2025-12-29T12:26:14.160Z] [INFO]  Slot 6: teamId=690ece6d6ad848539bed40a2, teamName=TEAM X , players=14
[2025-12-29T12:26:14.160Z] [INFO]  Slot 7: teamId=69442b7aefa44f93da4411d5, teamName=X SHOT ESP, players=13
[2025-12-29T12:26:14.161Z] [INFO]  Slot 8: teamId=69498f76a4ed5ec429559afd, teamName=BYZ ESPORTS, players=7
[2025-12-29T12:26:14.161Z] [INFO]  Slot 9: teamId=69498fc9a4ed5ec429559b20, teamName=ORACLE NATION, players=7
[2025-12-29T12:26:14.161Z] [INFO]  Slot 10: teamId=69499079a4ed5ec429559b6b, teamName=JD TOXIC, players=7
[2025-12-29T12:26:14.161Z] [INFO]  Slot 11: teamId=694990daa4ed5ec429559b96, teamName=UNSULLIED ARMY, players=8
[2025-12-29T12:26:14.162Z] [INFO]  Slot 12: teamId=69442defefa44f93da44134d, teamName=CRX JR, players=10
[2025-12-29T12:26:14.162Z] [INFO]  Slot 13: teamId=69442f3defa44f93da4413eb, teamName=CRX SENTINELS, players=14
[2025-12-29T12:26:14.162Z] [INFO]  Slot 14: teamId=694991e7a4ed5ec429559c53, teamName=SSFxESPORTS, players=10
[2025-12-29T12:26:14.162Z] [INFO]  Slot 15: teamId=69442c00efa44f93da441211, teamName=SHIELD STRIKERS TEAM 1, players=17
[2025-12-29T12:26:14.162Z] [INFO]  Slot 16: teamId=69442fb0efa44f93da441420, teamName=SHIELD STRIKERS TEAM 2, players=13
[2025-12-29T12:26:14.163Z] [INFO]  Slot 17: teamId=69443015efa44f93da44144e, teamName=TEAM ZERO, players=6
[2025-12-29T12:26:14.163Z] [INFO]  Slot 18: teamId=69222ea54d5237d685fd93d7, teamName=RIGEL ESPORTS, players=17
[2025-12-29T12:26:14.164Z] [INFO]  Slot 19: teamId=69442dc6efa44f93da44133a, teamName=BLOODSHED BATTALION, players=17
[2025-12-29T12:26:14.164Z] [INFO]  Slot 20: teamId=69443095efa44f93da44148b, teamName=CHAOS BRIGADE, players=11
[2025-12-29T12:26:14.164Z] [INFO]  Slot 21: teamId=69222e424d5237d685fd8ba4, teamName= RIGEL 07, players=13
[2025-12-29T12:26:14.164Z] [INFO]  Slot 22: teamId=694ff54e0f5f1d0bc66c42b1, teamName=One Take eSports, players=6
[2025-12-29T12:26:14.165Z] [INFO]  Slot 23: teamId=69443127efa44f93da4414d0, teamName=GALACTIC 7 , players=8
[2025-12-29T12:26:14.168Z] [INFO]  Slot 24: teamId=6951a26f0b5548f818daf300, teamName=KSA ESPORTS, players=5
[2025-12-29T12:26:14.173Z] [INFO] API returned 68 players
[2025-12-29T12:26:14.180Z] [INFO] API returned 68 players
[2025-12-29T12:26:14.328Z] [INFO] [updateTeams] UID=5117882641 already exists in team TEAM SECRET. Skipping.
[2025-12-29T12:26:14.329Z] [INFO] [updateTeams] UID=5636822408 already exists in team TEAM SECRET. Skipping.
[2025-12-29T12:26:14.329Z] [INFO] [updateTeams] UID=514490559 already exists in team TEAM SECRET. Skipping.
[2025-12-29T12:26:14.329Z] [INFO] [updateTeams] UID=5456450373 already exists in team TEAM SECRET. Skipping.
[2025-12-29T12:26:14.329Z] [INFO] [updateTeams] UID=5123588635 already exists in team PEACOCK	. Skipping.
[2025-12-29T12:26:14.330Z] [INFO] [updateTeams] UID=51290595597 already exists in team PEACOCK	. Skipping.
[2025-12-29T12:26:14.330Z] [INFO] [updateTeams] UID=5786781111 already exists in team PEACOCK	. Skipping.
[2025-12-29T12:26:14.330Z] [INFO] [updateTeams] UID=51816815637 already exists in team PEACOCK	. Skipping.
[2025-12-29T12:26:14.331Z] [INFO] [updateTeams] UID=512071025 already exists in team PHOENIX ESPORTS. Skipping.
[2025-12-29T12:26:14.331Z] [INFO] [updateTeams] UID=51333246435 already exists in team PHOENIX ESPORTS. Skipping.
[2025-12-29T12:26:14.331Z] [INFO] [updateTeams] UID=5650074088 already exists in team PHOENIX ESPORTS. Skipping.
[2025-12-29T12:26:14.332Z] [INFO] [updateTeams] UID=51503922635 already exists in team PHOENIX ESPORTS. Skipping.
[2025-12-29T12:26:14.332Z] [INFO] [updateTeams] UID=549589118 already exists in team TIME TO QUICK ESPORT. Skipping.
[2025-12-29T12:26:14.332Z] [INFO] [updateTeams] UID=51731463414 already exists in team TIME TO QUICK ESPORT. Skipping.
[2025-12-29T12:26:14.333Z] [INFO] [updateTeams] UID=545976480 already exists in team TIME TO QUICK ESPORT. Skipping.
[2025-12-29T12:26:14.333Z] [INFO] [updateTeams] UID=5674168754 already exists in team TIME TO QUICK ESPORT. Skipping.
[2025-12-29T12:26:14.334Z] [INFO] [updateTeams] UID=510040039 already exists in team HYVE ES. Skipping.
[2025-12-29T12:26:14.334Z] [INFO] [updateTeams] UID=51498220776 already exists in team HYVE ES. Skipping.
[2025-12-29T12:26:14.335Z] [INFO] [updateTeams] UID=5215687179 already exists in team HYVE ES. Skipping.
[2025-12-29T12:26:14.335Z] [INFO] [updateTeams] UID=51355823482 already exists in team HYVE ES. Skipping.
[2025-12-29T12:26:14.336Z] [INFO] [updateTeams] UID=5192579142 already exists in team GOOD GAME ESPORT. Skipping.
[2025-12-29T12:26:14.336Z] [INFO] [updateTeams] UID=5456805035 already exists in team GOOD GAME ESPORT. Skipping.
[2025-12-29T12:26:14.337Z] [INFO] [updateTeams] UID=51418310389 already exists in team GOOD GAME ESPORT. Skipping.
[2025-12-29T12:26:14.337Z] [INFO] [updateTeams] UID=5147295920 already exists in team GOOD GAME ESPORT. Skipping.
[2025-12-29T12:26:14.338Z] [INFO] [updateTeams] UID=565334703 already exists in team  ANGELS OF DEATH. Skipping.
[2025-12-29T12:26:14.338Z] [INFO] [updateTeams] UID=51210538486 already exists in team  ANGELS OF DEATH. Skipping.
[2025-12-29T12:26:14.339Z] [INFO] [updateTeams] UID=5154188973 already exists in team  ANGELS OF DEATH. Skipping.
[2025-12-29T12:26:14.339Z] [INFO] [updateTeams] UID=5138762812 already exists in team  ANGELS OF DEATH. Skipping.
[2025-12-29T12:26:14.339Z] [INFO] [updateTeams] UID=519318341 already exists in team OSJA ESPORTS. Skipping.
[2025-12-29T12:26:14.339Z] [INFO] [updateTeams] UID=5214873011 already exists in team OSJA ESPORTS. Skipping.
[2025-12-29T12:26:14.340Z] [INFO] [updateTeams] UID=51397606869 already exists in team OSJA ESPORTS. Skipping.
[2025-12-29T12:26:14.340Z] [INFO] [updateTeams] UID=5211007738 already exists in team OSJA ESPORTS. Skipping.
[2025-12-29T12:26:14.340Z] [INFO] [updateTeams] UID=5817729383 already exists in team BLACK EAGLE ESPORTS. Skipping.
[2025-12-29T12:26:14.340Z] [INFO] [updateTeams] UID=51652955928 already exists in team BLACK EAGLE ESPORTS. Skipping.
[2025-12-29T12:26:14.341Z] [INFO] [updateTeams] UID=51709179827 already exists in team BLACK EAGLE ESPORTS. Skipping.
[2025-12-29T12:26:14.341Z] [INFO] [updateTeams] UID=5213755313 already exists in team BLACK EAGLE ESPORTS. Skipping.
[2025-12-29T12:26:14.341Z] [INFO] [updateTeams] UID=51440213193 already exists in team WINNING OF FUTURE. Skipping.
[2025-12-29T12:26:14.341Z] [INFO] [updateTeams] UID=5252883877 already exists in team WINNING OF FUTURE. Skipping.
[2025-12-29T12:26:14.341Z] [INFO] [updateTeams] UID=51438252806 already exists in team WINNING OF FUTURE. Skipping.
[2025-12-29T12:26:14.342Z] [INFO] [updateTeams] UID=5739114075 already exists in team WINNING OF FUTURE. Skipping.
[2025-12-29T12:26:14.342Z] [INFO] [updateTeams] UID=5321677950 already exists in team MISFIT INTERNATIONAL. Skipping.
